Getting list of Win32_PNPEntity devices failed. Error: 0x80041003
XInput device detection failed. XInput won't be used. Error: 0x80041003
S24MAME crkdown-io-write cpu=:subcpu time=15.664706800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.682090800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.699474800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.716858800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.734242800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=15.751568100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.751699200 pc=02bafc addr=80001c canonical=1c data=0202 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.753957800 pc=02bb18 addr=80001c canonical=1c data=0606 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=15.768951100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=15.786336100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=15.803720100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=15.821104100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=15.838487100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=15.855872100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=15.873255100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=15.890640100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.908083800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.925466800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.942851800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.960235800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.977618800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.995003800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.012387800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.029770800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.047155800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.064539800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.081922800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.099307800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.116691800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.134074800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.151459800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.168843800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.186226800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.203611800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.220995800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.238378800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.255763800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.273147800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.290530800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.307915800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.325299800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.342682800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.360067800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.377451800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.394834800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.412219800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.429603800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.446987800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.464370800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.481755800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.499139800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.516522800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=16.533907800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.551232100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.568615100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.586000100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.603383100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.620768100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.638151100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.655536100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.672919100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.690304100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-check frame=961 time=16.707664 mainpc=08041a subpc=008e94
S24MAME crkdown-io-write cpu=:maincpu time=16.707687100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.725072100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.742455100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.759840100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.777223100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.794608100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.811991100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.829376100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.846759100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.864144100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.881527100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.898912100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.916295100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.933680100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.951063100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.968448100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=16.985831100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.003216100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.020599100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.037984100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.055367100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.072752100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.090135100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.107520100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.124903100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.142288100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.159671100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.177056100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.194439100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=17.211824100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
