Getting list of Win32_PNPEntity devices failed. Error: 0x80041003
S24MAME crkdown-fdc-write cpu=:maincpu time=5.288864300 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.288875300 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.288879300 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.288886500 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.436376700 pc=001822 addr=b00006 data=4444 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.436380900 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.436384900 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.436395900 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.436399900 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.436406300 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.583896500 pc=001822 addr=b00006 data=4444 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.583900700 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.583904700 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.583915700 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.583919700 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.583926900 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.731417100 pc=001822 addr=b00006 data=4545 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.731421300 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.731425300 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.731436300 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.731440300 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.731446700 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.878936900 pc=001822 addr=b00006 data=4545 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.878941100 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.878945100 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.878956100 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.878960100 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.878967300 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.026457500 pc=001822 addr=b00006 data=4646 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.026461700 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.026465700 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.026476700 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.026480700 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.026487100 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.173977300 pc=001822 addr=b00006 data=4646 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.173981500 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.173985500 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.173996500 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.174000500 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.174007700 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-check frame=361 time=6.277264 mainpc=00166c subpc=000000
S24MAME crkdown-fdc-write cpu=:maincpu time=6.321497900 pc=001822 addr=b00006 data=4747 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.321502100 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.321506100 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.321517100 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.321521100 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.321527500 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.469017700 pc=001822 addr=b00006 data=4747 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.469021900 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.469025900 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.469036900 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.469040900 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.469048100 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.616538300 pc=001822 addr=b00006 data=4848 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.616542500 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.616546500 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.616557500 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.616561500 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.616567900 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.764058100 pc=001822 addr=b00006 data=4848 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.764062300 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.764066300 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.764077300 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.764081300 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.764088500 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.911578700 pc=001822 addr=b00006 data=4949 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.911582900 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.911586900 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.911597900 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.911601900 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=6.911608300 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.059098500 pc=001822 addr=b00006 data=4949 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.059102700 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.059106700 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.059117700 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.059121700 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.059128900 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.206619100 pc=001822 addr=b00006 data=4a4a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.206623300 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.206627300 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.206638300 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.206642300 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.206648700 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=7.354138900 pc=001822 addr=b00006 data=4a4a mask=00ff
